time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,cartservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1731903240,0.30647847430552844,1.0951393400471345,0.22232288231667277,3.045033144264332,0.25813467900374115,4.821851287412628,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5479117505995155,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15544320,29282304,9515008,43204608,3518464,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,7.267,11.4,0.2,39.667,0.267,6.533,6.333,0.267,67.333,8.467,3.2,0,0,0,0.002219047619047619,0.005201923076923077,0.03859583765619316,0.0030241730279898216,0.003,0.03864381603730934,0.003285595773340853,0.00037343587069864435,0.007127831715210356,0.0005,0.0044742857142857145,0.009071153846153847,0.05750000000000005,0.004643511450381679,0.0046,0.07885977651888791,0.00599854762098836,0.003798728813559321,0.009503236245954692,0.004200000000000001
1731903241,0.30647847430552844,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25813467900374115,4.821851287412628,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15544320,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,6.533,4.6,0.267,61.6,7.533,2.667,0,0,0,0.0022285714285714287,0.005224609375,0.03960893052593926,0.003031705770450222,0.003,0.03907313161388785,0.0032831798352939436,0.0003766756032171582,0.007132107023411371,0.0004791666666666667,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08106837014279,0.005968675112541155,0.0038195329087048844,0.009533444816053512,0.004163636363636364
1731903242,0.2145469732761473,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25813467900374115,4.821851287412628,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15544320,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,6.533,4.6,0.267,61.6,7.533,2.667,0,0,0,0.0022285714285714287,0.005224609375,0.039595826223814586,0.003031705770450222,0.003,0.03907313161388785,0.0032807689992809244,0.0003766756032171582,0.007132107023411371,0.0004791666666666667,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08106837014279,0.0059383532278809515,0.0038195329087048844,0.009533444816053512,0.004163636363636364
1731903243,0.21955095513692124,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25813467900374115,4.821851287412628,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15544320,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,6.533,4.6,0.267,60.533,6.467,2.067,0,0,0,0.0022285714285714287,0.005224609375,0.03958268882797041,0.003031705770450222,0.003,0.03907313161388785,0.003278363249156953,0.0003756032171581769,0.007235973597359736,0.0012424242424242421,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08106837014279,0.005907571750119366,0.0038188841201716728,0.009552805280528051,0.004248484848484848
1731903244,0.2245549369976952,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25813467900374115,4.821851287412628,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15544320,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,6.533,4.6,0.267,60.533,6.467,2.067,0,0,0,0.0022285714285714287,0.005224609375,0.0395695182128855,0.003031705770450222,0.003,0.03907313161388785,0.003275962568845234,0.0003756032171581769,0.007235973597359736,0.0012424242424242421,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08106837014279,0.005876320150285227,0.0038188841201716728,0.009552805280528051,0.004248484848484848
1731903245,0.2295589188584691,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25607549320963796,4.560599195720849,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15630336,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022285714285714287,0.005224609375,0.039556314252402996,0.003031705770450222,0.003,0.039375,0.0032735669423366587,0.0003840413318025258,0.007235973597359736,0.0012424242424242421,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08215517241379314,0.005844587575316852,0.0038693218514531742,0.009552805280528051,0.004248484848484848
1731903246,0.23456290071924304,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25607549320963796,4.560599195720849,0.07030924931404037,2.178234679048202,1.0349208296521595,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15630336,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022285714285714287,0.005224609375,0.03954307681972645,0.003031705770450222,0.003,0.039375,0.0033103330850527465,0.0003840413318025258,0.007235973597359736,0.0012424242424242421,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08215517241379314,0.0062776558537739145,0.0038693218514531742,0.009552805280528051,0.004248484848484848
1731903247,0.23956688258001696,1.0951393400471345,0.23481361417464894,3.045033144264332,0.25607549320963796,4.560599195720849,0.07030924931404037,2.178234679048202,0.7682093664035085,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15630336,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.467,10,0.267,34.267,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022285714285714287,0.005224609375,0.03952980578741571,0.003031705770450222,0.003,0.039375,0.003307556405932824,0.0003840413318025258,0.007235973597359736,0.0012424242424242421,0.0044914285714285716,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08215517241379314,0.0062485639033692565,0.0038693218514531742,0.009552805280528051,0.004248484848484848
1731903248,0.19972643000000018,1.0951393400471345,0.23481361417464894,2.9770365524643823,0.25607549320963796,4.560599195720849,0.07030924931404037,2.178234679048202,0.7842048973375451,0.5475712908465684,0.08320040455426551,93057024,66371584,10506240,41975808,43778048,15630336,29282304,9515008,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,10,0.267,34.267,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224609375,0.039516501027382904,0.003031705770450222,0.003,0.039375,0.0033047863931173318,0.0003840413318025258,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08215517241379314,0.006219013635182077,0.0038693218514531742,0.009552805280528051,0.004248484848484848
1731903249,0.19972643000000018,1.065595043976923,0.20393893171514738,2.9770365524643823,0.25607549320963796,4.560599195720849,0.07030924931404037,2.1669679623195424,0.8002004282715816,0.5475712908465684,0.08320040455426551,93057024,66371584,10522624,41975808,43778048,15630336,29282304,9592832,43204608,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,10,0.267,34.267,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224609375,0.03950316241088821,0.003031705770450222,0.003,0.039375,0.0033020230226281666,0.00038404133180252583,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08215517241379314,0.00618899413263888,0.0038693218514531747,0.009552805280528051,0.004248484848484848
1731903250,0.19972643000000018,0.9799464880605618,0.20393893171514738,2.9770365524643823,0.25607549320963796,4.560599195720849,0.07030924931404037,2.1669679623195424,0.8205100166282259,0.5475712908465684,0.08320040455426551,93057024,66371584,10522624,41975808,43778048,15630336,29282304,9592832,43208704,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,10,0.267,34.267,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224609375,0.03948978980853582,0.003031705770450222,0.003,0.039375,0.003299266270602084,0.00038404133180252583,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009076171875,0.07166666666666668,0.0046570703868104,0.0046,0.08215517241379314,0.006158494129698839,0.0038693218514531747,0.009552805280528051,0.004248484848484848
1731903251,0.19972643000000018,0.9799464880605618,0.20393893171514738,2.9770365524643823,0.26402046080278524,4.560599195720849,0.07030924931404037,2.1669679623195424,0.964250268451732,0.5475712908465684,0.08320040455426551,93057024,66371584,10522624,41975808,43778048,15630336,29282304,9592832,43208704,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,10,0.267,33.333,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224609375,0.03947638309026967,0.0030296774193548383,0.003,0.039375,0.003296516113290011,0.00038404133180252583,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009076171875,0.07166666666666668,0.004653419354838709,0.0046,0.08215517241379314,0.006127501996756782,0.0038693218514531747,0.009552805280528051,0.004248484848484848
1731903252,0.30587511759478503,0.9799464880605618,0.20393893171514738,2.9770365524643823,0.26402046080278524,4.560599195720849,0.07030924931404037,2.1669679623195424,0.964250268451732,0.5475712908465684,0.09211009853567723,93057024,66371584,10522624,41975808,43778048,15630336,29282304,9592832,43208704,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,10,0.267,33.333,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224609375,0.03946294212536927,0.0030296774193548383,0.003,0.039375,0.003293772527056361,0.00038404133180252583,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009076171875,0.07166666666666668,0.004653419354838709,0.0046,0.08215517241379314,0.006096005725858268,0.0038693218514531747,0.009552805280528051,0.004248484848484848
1731903253,0.30587511759478503,0.9799464880605618,0.1559302407775564,2.9770365524643823,0.26402046080278524,4.560599195720849,0.05949783510771446,2.1669679623195424,0.964250268451732,0.5475712908465684,0.09211009853567723,93057024,66371584,10522624,41975808,43778048,15630336,29282304,9592832,43208704,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,10,0.267,33.333,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224609375,0.03944946678244545,0.0030296774193548383,0.003,0.039375,0.003291035488378365,0.00038404133180252583,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009076171875,0.07166666666666668,0.004653419354838709,0.0046,0.08215517241379314,0.006063992915187249,0.0038693218514531747,0.009552805280528051,0.004248484848484848
1731903254,0.305875117594785,0.9799464880605618,0.1559302407775564,2.9770365524643823,0.26402046080278524,3.824543445306209,0.06384030110212761,2.1669679623195424,0.964250268451732,0.5484633090313888,0.09211009853567723,93057024,66371584,10522624,41975808,43778048,15630336,29642752,9592832,43208704,3387392,6901760,0,0,3,4,9,3,3,15,3,3,4,4,2,6.267,9.267,0.267,33.333,0.267,4.867,4.6,0.267,50.667,6.467,2.067,0,0,0,0.0022710280373831777,0.005224489795918368,0.03943595692943603,0.0030296774193548383,0.003,0.039375,0.00328830497384539,0.00038404133180252583,0.007235973597359736,0.0012424242424242421,0.004499065420560748,0.009077551020408166,0.07166666666666668,0.004653419354838709,0.0046,0.08215517241379314,0.006031450752784188,0.0038693218514531747,0.009552805280528051,0.004248484848484848
