time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,carts_mem,carts-db_mem,cartservice_mem,catalogue_mem,catalogue-db_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,front-end_mem,frontend_mem,frontend-check_mem,orders_mem,orders-db_mem,payment_mem,paymentservice_mem,productcatalogservice_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,recommendationservice_mem,redis_mem,session-db_mem,shipping_mem,shippingservice_mem,user_mem,user-db_mem,redis_diskio,adservice_socket,carts_socket,carts-db_socket,cartservice_socket,catalogue_socket,catalogue-db_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,front-end_socket,frontend_socket,frontend-check_socket,orders_socket,orders-db_socket,payment_socket,paymentservice_socket,productcatalogservice_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,recommendationservice_socket,redis_socket,session-db_socket,shipping_socket,shippingservice_socket,user_socket,user-db_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1732274479,1.252809542269551,1.2214663174728253,0.17502658000797194,3.6310230268168033,0.17800857110532867,1.9997939943175207,0.33796295455754344,2.1236755933470373,1.3103202834645669,0.5370700715514545,0.12848422612465168,83136512,330530816,136704000,39440384,11374592,418525184,8224768,32370688,43876352,71708672,13119488,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,7.267,12.6,0.2,35.267,0.133,6.8,6.733,0.067,67.933,8.6,3.067,0,,0,0.003984293193717277,0.003308485406973231,0.039809275048963165,0.0032963307390338563,0.0030399143235984084,0.038609215017064845,0.007757660263149731,0.0012245781516754465,0.005000000000000001,0.0016236559139784946,0.00848404255319149,0.006326258064516132,0.15380568748872714,0.007572108304682178,0.004671845782477135,0.11255102040816328,0.009963788473669515,0.004269568110134285,0.009,0.004324731182795699
1732274480,1.2256900067644827,1.2214663174728253,0.17502658000797194,3.552107901293066,0.17800857110532867,1.949256178804161,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5370700715514545,0.12848422612465168,83136512,330530816,136704000,39440384,11374592,418525184,8224768,32370688,43876352,71708672,13119488,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,7.267,12.6,0.2,35.267,0.133,6.8,6.733,0.067,67.933,8.6,3.067,0,,0,0.003984293193717277,0.0033070332590218053,0.039682437235639655,0.003295710161372528,0.0030227219094494822,0.038609215017064845,0.007735656893912365,0.0012245456174562628,0.005000000000000001,0.0016236559139784946,0.00848404255319149,0.006304752688172047,0.14908687638843132,0.007561887774289728,0.004640899437009068,0.11255102040816328,0.009924182409042259,0.0042690944538826036,0.009,0.004324731182795699
1732274481,1.1985704712594143,1.2214663174728253,0.17502658000797194,3.4731927757693293,0.17800857110532867,1.8987183632908011,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5370700715514545,0.12848422612465168,83136512,330530816,136704000,39440384,11374592,418525184,8224768,32370688,43876352,71708672,13119488,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,7.267,12.6,0.2,35.267,0.133,6.8,6.733,0.067,67.933,8.6,3.067,0,,0,0.003984293193717277,0.0033055829368631748,0.03955775364156141,0.0032950903271209415,0.0030058168689198676,0.038609215017064845,0.007714001874922961,0.001224513092662057,0.005000000000000001,0.0016236559139784946,0.00848404255319149,0.006283247311827957,0.1438812206607367,0.007551588540774832,0.0046104703640557606,0.11255102040816328,0.00988520337486133,0.004268620934846446,0.009,0.004324731182795699
1732274482,1.1714509357543461,1.2214663174728253,0.17502658000797194,3.3942776502455927,0.17800857110532867,1.8481805477774418,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5370700715514545,0.12848422612465168,83136512,330530816,136704000,39440384,11374592,418525184,8224768,32370688,43876352,71708672,13119488,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,7.267,10.867,0.2,35.267,0.133,6.8,6.733,0.067,67.933,8.6,2.867,0,,0,0.003984293193717277,0.003311398204773658,0.03943516984781722,0.0032944712349440653,0.003,0.038609215017064845,0.007692686998697413,0.0012244805772887346,0.005000000000000001,0.0017759648769799024,0.00848404255319149,0.006366317460317465,0.13810927993659516,0.007541209691544479,0.0046,0.11255102040816328,0.009846836597655343,0.004268147552966193,0.009,0.00435519297539598
1732274483,1.539190155670868,1.2214663174728253,0.17502658000797194,4.84946314278746,0.13853458280058858,3.335639191384848,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5370700715514545,0.12848422612465168,84049920,330530816,136704000,39440384,11374592,418525184,8224768,35360768,43876352,71708672,12828672,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,7.267,10.867,0.2,35.267,0.133,5.333,6.733,0.067,67.933,8.6,2.867,0,,0,0.003984293193717277,0.0033091011172138836,0.03931463325313162,0.0032940848846259112,0.003,0.03861301369863014,0.007671704313577934,0.0012244750181028238,0.005000000000000001,0.0017717351740115783,0.00848404255319149,0.00633298412698413,0.13167333623671895,0.0075386902616409466,0.0046,0.11125000000000002,0.009809067764440283,0.004268066618392469,0.009,0.004354347034802315
1732274484,1.539190155670868,1.0375983141112424,0.17502658000797194,4.84946314278746,0.14689934080693534,3.335639191384848,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5370700715514545,0.12848422612465168,84049920,330530816,136704000,39440384,11374592,418525184,8224768,35360768,43880448,71708672,12828672,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,6.267,9.267,0.2,29.933,0.133,5.333,5.067,0.067,55.333,7.733,2.667,0,,0,0.0038910891089108915,0.0033137200824424743,0.04207239946959535,0.0032532836868916807,0.003,0.038527397260273974,0.007666666666666667,0.0011386903914590743,0.004988826815642458,0.0016652388522672066,0.008377777777777776,0.006348151515151519,0.2024884701139245,0.006558633559155154,0.0046,0.10652173913043475,0.009800000000000001,0.004234570818505338,0.008997191011235955,0.004333047770453442
1732274485,1.539190155670868,1.0050910236927377,0.17502658000797194,4.84946314278746,0.15058008299238734,3.335639191384848,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5370700715514545,0.12848422612465168,84049920,330530816,136704000,39927808,11374592,418525184,8224768,35360768,43880448,71708672,12828672,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,6.267,9.267,0.2,29.933,0.133,5.333,5.067,0.067,55.333,7.733,2.667,0,,0,0.0038910891089108915,0.0033118714599468272,0.04204414180220968,0.0032527881040892194,0.003,0.038527397260273974,0.007666666666666667,0.0011382158956109135,0.004988826815642458,0.0016556244612239838,0.008377777777777776,0.0063219696969697035,0.20069439545266732,0.006541666666666673,0.0046,0.10652173913043475,0.009800000000000001,0.004234475919335708,0.008997191011235955,0.004331124892244797
1732274486,1.539190155670868,1.0251535216705556,0.17502658000797194,4.84946314278746,0.15426082517783932,3.335639191384848,0.48336860788614855,2.1236755933470377,1.3103202834645669,0.5425023980883567,0.12848422612465168,84049920,330530816,136704000,39927808,11374592,418525184,8224768,35360768,43880448,71708672,12828672,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,6.267,9.267,0.2,29.933,0.133,5.333,5.067,0.067,55.333,7.733,2.667,0,,0,0.0038910891089108915,0.00331009124860432,0.04189483030707293,0.0032527881040892194,0.003,0.038527397260273974,0.007666666666666667,0.0011377413997627516,0.004988826815642458,0.0016459544717233724,0.008377777777777776,0.006296717171717176,0.1937030422158586,0.006541666666666673,0.0046,0.10652173913043475,0.009800000000000001,0.004234381020166074,0.008997191011235955,0.004329190894344676
1732274487,1.539190155670868,1.2037498786690939,0.17502658000797194,4.84946314278746,0.1579415673632913,3.335639191384848,0.48336860788614855,2.1236755933470377,1.1248804298960207,0.5425023980883567,0.12848422612465168,84049920,330530816,136704000,39927808,11374592,418525184,8224768,35360768,43880448,71708672,12828672,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,6.267,9.267,0.2,29.933,0.133,5.333,5.067,0.067,55.333,7.733,2.667,0,,0,0.0038910891089108915,0.003308313776786058,0.0417481121155843,0.0032527881040892194,0.003,0.038527397260273974,0.007666666666666667,0.0011372669039145904,0.004988826815642458,0.001636228400091634,0.008377777777777776,0.006271464646464654,0.18684982662043217,0.006541666666666673,0.0046,0.10652173913043475,0.009800000000000001,0.004234286120996442,0.008997191011235955,0.004327245680018328
1732274488,1.539190155670868,1.2037498786690939,0.17502658000797194,4.84946314278746,0.1616223095487433,3.335639191384848,0.48336860788614855,2.1236755933470377,1.1480299283709963,0.5425023980883567,0.12848422612465168,84049920,330530816,136704000,39927808,11374592,418525184,8224768,35360768,43880448,71708672,12828672,593920,335040512,99627008,10842112,23769088,8855552,281759744,92147712,4636672,42430464,3301376,3252224,303620096,6139904,16195584,103333888,0,3,6,7,5,6,4,9,3,3,5,14,0,5,5,4,3,4,3,11,1,4,4,3,3,2,19,9,6.267,9.267,0.2,29.933,0.133,5.333,5.067,0.067,55.333,7.733,2.667,0,,0,0.0038910891089108915,0.0033065390381732214,0.041603920247066335,0.0032527881040892194,0.003,0.038527397260273974,0.007666666666666667,0.0011367924080664291,0.004988826815642458,0.0016279069767441865,0.008377777777777776,0.006246212121212128,0.18013069465775805,0.006541666666666673,0.0046,0.10652173913043475,0.009800000000000001,0.0042341912218268095,0.008997191011235955,0.004325581395348838
