time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1732372542,0.28640338025770096,1.056457232353806,0.20698882112281133,2.380827307119822,0.17428154081879527,3.5128385931105686,0.1129307964601801,1.6959452640305572,1.208955172524869,0.5322766100686702,0.1049897161670701,93995008,52953088,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4694016,7077888,0,3,4,9,4,3,16,3,4,4,4,2,5.667,10.133,0.333,33.333,0.267,5.667,5.667,0.2,54.867,7.333,4,0,0,0,0.0026339285714285714,0.003378238341968912,0.0375,0.00289395070948469,0.003,0.03599706744868036,0.0035,0.0003842231553689262,0.007342767295597485,0.0004967843304843306,0.004526785714285714,0.006856164383561645,0.0475,0.004583569828230022,0.0046,0.04919354838709677,0.0075,0.0038581655480984358,0.009481132075471698,0.004236824496016498
1732372543,0.28640338025770096,0.9633529466605848,0.21278102130656626,2.380827307119822,0.17428154081879527,3.5128385931105686,0.1129307964601801,1.6959452640305572,1.00743745720463,0.5322766100686702,0.1049897161670701,93995008,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4694016,7077888,0,3,4,9,4,3,16,3,4,4,4,2,6,10.133,0.333,33.333,0.267,5.667,5.667,0.2,54.867,7.333,4,0,0,0,0.0026855895196506554,0.003378238341968912,0.0375,0.00289395070948469,0.003,0.03599706744868036,0.0035,0.0003842231553689262,0.007342767295597485,0.0004967843304843306,0.004537117903930131,0.006856164383561645,0.0475,0.004583569828230022,0.0046,0.04919354838709677,0.0075,0.0038581655480984358,0.009481132075471698,0.004236824496016498
1732372544,0.28640338025770096,0.9633529466605848,0.21278102130656626,2.380827307119822,0.17428154081879527,3.5128385931105686,0.1129307964601801,1.6959452640305572,0.9872882043292154,0.5322766100686702,0.1049897161670701,93995008,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4694016,7077888,0,3,4,9,4,3,16,3,4,4,4,2,6,10.133,0.333,33.333,0.267,4.667,5.667,0.2,54.867,7.333,4,0,0,0,0.0026855895196506554,0.003378238341968912,0.0375,0.00289395070948469,0.003,0.03588709677419354,0.0035,0.0003842231553689262,0.007342767295597485,0.0004967843304843306,0.004537117903930131,0.006856164383561645,0.0475,0.004583569828230022,0.0046,0.048995601173020535,0.0075,0.0038581655480984358,0.009481132075471698,0.004236824496016498
1732372545,0.28640338025770096,0.9633529466605848,0.21278102130656626,2.046348606490213,0.17428154081879527,3.5128385931105686,0.12170447592241515,1.6959452640305572,1.1849247663085762,0.5217542206198791,0.1049897161670701,93995008,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,6,10.133,0.333,33.333,0.267,4.667,5.667,0.2,54.867,7.333,2.733,0,0,0,0.0026855895196506554,0.003378238341968912,0.0375,0.00289395070948469,0.003,0.03588709677419354,0.0035,0.0003842231553689262,0.007342767295597485,0.0004905063291139241,0.004537117903930131,0.006856164383561645,0.0475,0.004583569828230022,0.0046,0.048995601173020535,0.0075,0.0038581655480984358,0.009481132075471698,0.004226666666666667
1732372546,0.28640338025770096,0.9633529466605848,0.21278102130656626,2.088781962767874,0.17428154081879527,3.5128385931105686,0.12170447592241515,1.6959452640305572,1.1849247663085762,0.5217542206198791,0.1049897161670701,93995008,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,6,10.133,0.333,33.333,0.267,4.667,5.667,0.2,54.867,7.333,2.733,0,0,0,0.0026855895196506554,0.003378238341968912,0.0375,0.00289395070948469,0.003,0.03588709677419354,0.0035,0.0003842231553689262,0.007342767295597485,0.0004905063291139241,0.004537117903930131,0.006856164383561645,0.0475,0.004583569828230022,0.0046,0.048995601173020535,0.0075,0.0038581655480984358,0.009481132075471698,0.004226666666666667
1732372547,0.28640338025770096,0.9633529466605848,0.21278102130656626,2.131215319045536,0.17428154081879527,3.5128385931105686,0.12170447592241515,1.6959452640305572,1.1849247663085762,0.5217542206198791,0.1049897161670701,93995008,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,6,10.133,0.333,33.333,0.267,4.667,5.667,0.2,54.867,7.333,2.733,0,0,0,0.0026855895196506554,0.003378238341968912,0.0375,0.00289395070948469,0.003,0.03588709677419354,0.0035,0.0003842231553689262,0.007342767295597485,0.0004905063291139241,0.004537117903930131,0.006856164383561645,0.0475,0.004583569828230022,0.0046,0.048995601173020535,0.0075,0.0038581655480984358,0.009481132075471698,0.004226666666666667
1732372548,0.28640338025770096,0.9633529466605848,0.21278102130656626,2.1736486753231965,0.17428154081879527,3.5581848357710966,0.12170447592241515,1.6959452640305572,1.1849247663085762,0.5217542206198791,0.1049897161670701,93995008,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,6,10.133,0.333,31.267,0.267,4.667,5.667,0.2,54.867,7.333,2.733,0,0,0,0.0026855895196506554,0.003378238341968912,0.0375,0.0028988847583643123,0.003,0.03588709677419354,0.0035,0.0003842231553689262,0.007342767295597485,0.0004905063291139241,0.004537117903930131,0.006856164383561645,0.0475,0.004591672862453532,0.0046,0.048995601173020535,0.0075,0.0038581655480984358,0.009481132075471698,0.004226666666666667
1732372549,0.29556909686220884,0.9633529466605848,0.21278102130656626,2.151583330058813,0.17428154081879527,3.5581848357710966,0.12170447592241515,1.6959452640305572,1.1849247663085762,0.5217542206198791,0.1049897161670701,93999104,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,5.733,9.4,0.4,28.733,0.267,4.667,4.8,0.2,52.6,7.067,2.533,0,0,0,0.002677130044843049,0.003324742268041237,0.0375,0.0029034175334323926,0.003,0.03594213649851632,0.0035,0.0003772536057692307,0.007331189710610932,0.0004968354430379746,0.00453542600896861,0.0064206349206349204,0.0475,0.0045997028231797915,0.0046,0.04890949554896143,0.0075,0.003817494089834516,0.009466237942122186,0.004236363636363636
1732372550,0.29556909686220884,0.9633529466605848,0.21278102130656626,2.109149973781152,0.17428154081879527,3.5581848357710966,0.12170447592241515,1.3075634930893607,1.1849247663085762,0.5217542206198791,0.1049897161670701,93999104,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,5.733,10,0.4,28.733,0.267,4.667,4.8,0.2,52.6,7.067,2.533,0,0,0,0.002677130044843049,0.0032913580246913578,0.0375,0.0029034175334323926,0.003,0.03594213649851632,0.0035,0.0003772536057692307,0.007331189710610932,0.0004968354430379746,0.00453542600896861,0.00606779661016949,0.0475,0.0045997028231797915,0.0046,0.04890949554896143,0.0075,0.003817494089834516,0.009466237942122186,0.004236363636363636
1732372551,0.29556909686220884,0.9633529466605848,0.21278102130656626,2.0667166175034906,0.17428154081879527,3.5581848357710966,0.10038895116857016,1.3341614760753988,1.1849247663085762,0.5217542206198791,0.1049897161670701,93999104,52928512,11137024,39849984,43683840,15568896,32714752,10309632,44171264,4562944,7077888,0,3,4,9,4,3,16,3,4,4,4,2,5.733,10,0.4,28.733,0.267,4.667,4.8,0.2,57.467,7.6,2.533,0,0,0,0.002677130044843049,0.0032913580246913578,0.0375,0.0029034175334323926,0.003,0.03594213649851632,0.0035,0.0003731863029599536,0.007249190938511327,0.0004968354430379746,0.00453542600896861,0.00606779661016949,0.0475,0.0045997028231797915,0.0046,0.04890949554896143,0.0075,0.0037882214369846885,0.009449838187702266,0.004236363636363636
