time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1732364822,2.0083696702628773,0.6676360284632169,0.17909723330596172,1.7226446637529453,0.20171818446384587,3.962005890212665,0.12966207810066901,1.8867146342781458,1.2613423771418029,0.5102828913697584,0.07745470158396754,162050048,50323456,10047488,39972864,43941888,14901248,26025984,9773056,43122688,4542464,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.467,9.667,0.4,32.4,0.4,4.867,5.333,0.267,58.4,7.933,2.4,0,0,0,0.004041237113402062,0.0034245524296675186,0.042708333333333334,0.002902203856749311,0.003,0.035752688172043016,0.0046,0.00038258185721953836,0.007341389728096676,0.0012153846153846158,0.008611111111111113,0.0071445783132530125,0.08300000000000003,0.004589256198347107,0.004600000000000001,0.04870967741935485,0.008875,0.0038515212981744436,0.00955287009063444,0.004292307692307693
1732364823,2.0083696702628773,0.6822294049330655,0.18277923640633356,1.6828004499016704,0.20171818446384587,3.962005890212665,0.12966207810066901,1.7662863022671047,1.2613423771418029,0.41283799472656085,0.07745470158396754,162050048,50323456,10047488,39972864,43941888,14901248,26025984,10055680,43122688,4542464,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.467,9.667,0.4,32.4,0.2,4.867,5.333,0.267,58.4,7.933,2.4,0,0,0,0.004041237113402062,0.0034245524296675186,0.042708333333333334,0.002902203856749311,0.003,0.035752688172043016,0.0046,0.00038258185721953836,0.007341389728096676,0.0012153846153846158,0.008611111111111113,0.0071445783132530125,0.08300000000000003,0.004589256198347107,0.004600000000000001,0.04870967741935485,0.008875,0.0038515212981744436,0.00955287009063444,0.004292307692307693
1732364824,2.0083696702628773,0.580196165000002,0.1864612395067054,1.6429562360503955,0.20171818446384587,3.962005890212665,0.12966207810066901,1.7662863022671047,1.2613423771418029,0.40433327987039824,0.07745470158396754,162050048,50323456,10047488,39972864,43941888,14901248,26025984,10055680,43122688,4542464,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,31.4,0.2,4.867,4.2,0.267,51.733,6.933,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002902555590107328,0.003,0.03580800519848701,0.0046,0.0003717257326266822,0.0073248715335286875,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.004594069911398249,0.004600000000000001,0.04859805145146531,0.008875,0.003784744842872569,0.009541406973287469,0.004272192784568841
1732364825,1.8070598471816617,0.580196165000002,0.22092018602231037,2.419466766113491,0.20171818446384587,3.962005890212665,0.11504045923678222,1.7662863022671047,1.2613423771418029,0.511014506692592,0.07745470158396754,162136064,50323456,10047488,40329216,43941888,14901248,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,31.4,0.2,4.867,4.2,0.267,51.733,6.933,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002902555590107328,0.003,0.03580800519848701,0.0046,0.0003717257326266822,0.0073248715335286875,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.004594069911398249,0.004600000000000001,0.04859805145146531,0.008875,0.003784744842872569,0.009541406973287469,0.004272192784568841
1732364826,1.8070598471816617,0.580196165000002,0.22092018602231037,2.419466766113491,0.20171818446384587,3.962005890212665,0.11737383061915893,1.7662863022671047,1.2613423771418029,0.511014506692592,0.07745470158396754,162136064,50323456,10047488,40329216,43941888,14901248,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,29.8,0.2,4.867,4.2,0.267,47.333,6,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002920306642517165,0.003,0.03580800519848701,0.0046,0.0003784612288890528,0.007303790388132031,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.0045982304361672525,0.004600000000000001,0.04859805145146531,0.008875,0.0038215550102952372,0.009501718518033062,0.004272192784568841
1732364827,1.8070598471816617,0.580196165000002,0.22092018602231037,2.419466766113491,0.2037526766904267,3.962005890212665,0.14000228294260267,1.7662863022671047,1.2613423771418029,0.511014506692592,0.07745470158396754,162136064,50323456,10047488,40329216,43941888,14901248,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,29.8,0.2,4.867,4.2,0.267,47.333,6,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002920306642517165,0.003,0.03580800519848701,0.0046,0.0003784612288890528,0.007303790388132031,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.0045982304361672525,0.004600000000000001,0.04859805145146531,0.008875,0.0038215550102952372,0.009501718518033062,0.004272192784568841
1732364828,1.8070598471816617,0.580196165000002,0.22092018602231037,2.419466766113491,0.2037526766904267,3.6658958687834433,0.14000228294260267,1.7662863022671047,1.2613423771418029,0.5086542806771818,0.07745470158396754,162136064,50323456,10047488,40329216,43941888,14917632,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,29.8,0.2,4.867,4.2,0.267,47.333,6,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002920306642517165,0.003,0.03580800519848701,0.0046,0.0003784612288890528,0.007303790388132031,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.0045982304361672525,0.004600000000000001,0.04859805145146531,0.008875,0.0038215550102952372,0.009501718518033062,0.004272192784568841
1732364829,1.8070598471816617,0.8651241674512268,0.1858758010137463,2.419466766113491,0.2037526766904267,3.6658958687834433,0.14000228294260267,1.7662863022671047,1.2613423771418029,0.5086542806771818,0.07745470158396754,162136064,50352128,10047488,40329216,43941888,14917632,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,29.8,0.2,4.867,4.2,0.267,47.333,6,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002920306642517165,0.003,0.03580800519848701,0.0046,0.0003784612288890528,0.007303790388132031,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.0045982304361672525,0.004600000000000001,0.04859805145146531,0.008875,0.0038215550102952372,0.009501718518033062,0.004272192784568841
1732364830,1.8070598471816617,0.8651241674512268,0.18219379791337445,2.419466766113491,0.2037526766904267,3.6658958687834433,0.14000228294260267,1.7662863022671047,1.0739734707462134,0.5086542806771818,0.07745470158396754,162136064,50352128,10047488,40329216,43941888,14917632,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,29.8,0.2,4.867,4.2,0.267,47.333,6,1.867,0,0,0,0.003556137350348638,0.003366514554457381,0.04134619329955071,0.002920306642517165,0.003,0.03580800519848701,0.005,0.0003784612288890528,0.007303790388132031,0.0010987181504992743,0.0077919350035778245,0.006771595390037146,0.07875016668889186,0.0045982304361672525,0.004600000000000001,0.04859805145146531,0.009,0.0038215550102952372,0.009501718518033062,0.004272192784568841
1732364831,1.8070598471816617,0.8651241674512268,0.1701322678719824,2.419466766113491,0.16562630603421682,3.6658958687834433,0.14000228294260267,1.7662863022671047,0.990830355349538,0.5086542806771818,0.07745470158396754,162136064,50352128,10047488,40329216,43941888,14917632,26025984,10055680,43122688,4673536,6746112,0,6,4,9,4,3,15,3,4,4,4,2,6.4,8.733,0.2,29.667,0.2,4.867,4.2,0.267,47.2,6,1.867,0,0,0,0.003556137350348638,0.0033641389443846673,0.040625138907409875,0.0029180446425430715,0.003,0.03580800519848701,0.005,0.00037778004779223374,0.007303790388132031,0.0004958113123951698,0.0077919350035778245,0.006753795521130463,0.07500088896790826,0.004595531095303764,0.0046,0.04859805145146531,0.009,0.003817405207402984,0.009501718518033062,0.0043072028268416615
